tokenizer,language,sentences,total_tokens,total_words,total_graphemes,total_bytes,total_codepoints,tok_per_sentence,tok_per_word,tok_per_grapheme,tok_per_byte,tok_per_codepoint
gpt2,eng,1012,27044,21901,131966,132096,131966,26.72,1.235,0.205,0.205,0.205
gpt2,hin,1012,200688,25643,85957,337439,131180,198.31,7.826,2.335,0.595,1.53
gpt2,tam,1012,420171,16775,99724,421635,154131,415.19,25.047,4.213,0.997,2.726
gpt2,kan,1012,367366,16100,90371,375341,138027,363.01,22.818,4.065,0.979,2.662
IndicBERTv2,eng,1012,27078,21901,131966,132096,131966,26.76,1.236,0.205,0.205,0.205
IndicBERTv2,hin,1012,31661,25643,85957,337439,131180,31.29,1.235,0.368,0.094,0.241
IndicBERTv2,tam,1012,28439,16775,99724,421635,154131,28.1,1.695,0.285,0.067,0.185
IndicBERTv2,kan,1012,29715,16100,90371,375341,138027,29.36,1.846,0.329,0.079,0.215
Qwen2.5,eng,1012,27621,21901,131966,132096,131966,27.29,1.261,0.209,0.209,0.209
Qwen2.5,hin,1012,121957,25643,85957,337439,131180,120.51,4.756,1.419,0.361,0.93
Qwen2.5,tam,1012,168828,16775,99724,421635,154131,166.83,10.064,1.693,0.4,1.095
Qwen2.5,kan,1012,191127,16100,90371,375341,138027,188.86,11.871,2.115,0.509,1.385
